budget,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genres_list,production_countries_list,cast_names,director,roi,release_year,release_decade,runtime_category,rating_category
11.0,28932,en,3.375208,1978-04-26,11.0,145.0,F.I.S.T.,6.4,29,"['Drama', 'Action']",['United States of America'],"['Sylvester Stallone', 'Rod Steiger', 'Peter Boyle', 'Melinda Dillon', 'David Huffman', 'Tony Lo Bianco', 'James Karen', 'Brian Dennehy', 'Frank McRae', 'Richard Herd', 'Anthony Kiedis', 'Bruce McGill', 'Robert Lipton', 'Kevin Conway']",Norman Jewison,1.0,1978,1970,Larga (2-3h),Alto
12000000.0,31909,en,4.234269,1986-01-01,4884663.0,100.0,Invaders from Mars,5.5,57,['Science Fiction'],['United States of America'],"['Karen Black', 'Hunter Carson', 'Timothy Bottoms', 'Laraine Newman', 'James Karen', 'Bud Cort', 'Louise Fletcher', 'Eric Pierpoint', 'Christopher Allport', 'Virginya Keehne', 'Kenneth Kimmins', 'Charlie Dell', 'Chris Hebert', 'Mason Nupuf', 'William Frankfather', 'Debra Berger', 'Eddy Donno', 'Mark Giardino', 'Donald Hotton', 'Jimmy Hunt', 'William Bassett', 'Dale Dye', 'Scott Leva', 'Steven Lambert', 'Debbie Lee Carrington', 'Tony Cox', 'Sal Fondacaro', 'Randall Wulff']",Tobe Hooper,0.40705525,1986,1980,Media (1-2h),Medio
11000000.0,167073,en,39.337949,2015-10-20,62076141.0,111.0,Brooklyn,7.2,1213,"['Drama', 'Romance']","['Canada', 'Ireland']","['Saoirse Ronan', 'Domhnall Gleeson', 'Emory Cohen', 'Jim Broadbent', 'Julie Walters', 'Fiona Glascott', 'Jane Brennan', 'Brid Brennan', 'Jessica Paré', 'Emily Bett Rickards', 'Eve Macklin', 'Nora-Jane Noone', ""Eileen O'Higgins"", 'Eva Birthistle', 'Jenn Murray', 'Peter Campion', 'Michael Zegen', 'James DiGiacomo', 'Christian de la Cortina', 'Paulino Nunes', 'Ellen David', 'Samantha Munro', 'Maeve McGrath', 'Niamh McCann', ""Iarla O'Lionaird"", 'Alain Goulem', 'Aine Ni Mhuiri', 'Emma Lowe', ""Mary O'Driscoll"", 'Denis Conway', 'Gary Lydon', 'Karen Ardiff', 'Mella Carron', 'Matt Glynn', 'Barbara Drennan', 'Gillian McCarthy', 'James Corscadden', 'Jane Wheeler', 'Adrien Benn', 'Ellis Rockburn', 'Erika Rosenbaum', 'Max Walker', 'Tadhg McMahon', 'Paul Stewart', 'Karen Belfo', 'Micheline Poitras']",John Crowley,5.643285545454545,2015,2010,Media (1-2h),Alto
11000000.0,3175,en,29.543331,1975-12-18,20000000.0,184.0,Barry Lyndon,7.7,505,"['Drama', 'Romance', 'War']","['United Kingdom', 'United States of America']","[""Ryan O'Neal"", 'Marisa Berenson', 'Hardy Krüger', 'Diana Körner', 'Frank Middlemass', ""Arthur O'Sullivan"", 'Godfrey Quigley', 'Leonard Rossiter', 'Philip Stone', 'Patrick Magee', 'Steven Berkoff', 'Gay Hamilton', 'Marie Kean', 'Murray Melvin', 'André Morell', 'Leon Vitali', 'Billy Boyle']",Stanley Kubrick,1.8181818181818181,1975,1970,Muy Larga (>3h),Alto
24000000.0,14369,en,4.12064,2001-11-21,14782676.0,89.0,Out Cold,5.8,53,['Comedy'],['United States of America'],"['Jason London', 'Lee Majors', 'Zach Galifianakis', 'Victoria Silvstedt', 'David Koechner', 'Willie Garson', 'A.J. Cook', 'Caroline Dhavernas', 'Flex Alexander', 'Derek Hamilton', 'Lewis Arquette']",Brendan Malloy,0.6159448333333334,2001,2000,Media (1-2h),Medio
24000000.0,16888,en,2.259537,2000-10-13,13700000.0,84.0,The Ladies Man,5.7,34,['Comedy'],['United States of America'],"['Tim Meadows', 'Karyn Parsons', 'Billy Dee Williams', 'John Witherspoon', 'Jill Talley', 'Lee Evans', 'Will Ferrell', 'Sofia Milos', 'Eugene Levy', 'David Huband', 'Jammer', 'Ken Hudson Campbell', 'Kevin McDonald', 'Tamala Jones', 'Julianne Moore', 'Tiffani Thiessen', 'Rocky Carroll', 'Arnold Pinnock', 'Shaun Majumder', 'Diego Fuentes', 'Sean Thibodeau', 'Mark McKinney', 'Chris Parnell']",Reginald Hudlin,0.5708333333333333,2000,2000,Media (1-2h),Medio
11000000.0,121826,en,7.722021,2012-09-08,59520298.0,98.0,Quartet,6.3,139,"['Drama', 'Comedy', 'Romance']",['United Kingdom'],"['Maggie Smith', 'Tom Courtenay', 'Billy Connolly', 'Pauline Collins', 'Michael Gambon', 'Sheridan Smith', 'Jumayn Hunter', 'Shola Adewusi', 'Andrew Sachs', 'Trevor Peacock', 'David Ryall', 'Michael Byrne', 'Ronnie Fox', 'Luke Newberry']",Dustin Hoffman,5.410936181818182,2012,2010,Media (1-2h),Alto
11000000.0,10646,en,7.063053,2001-03-30,23430766.0,95.0,Tomcats,4.9,74,"['Comedy', 'Romance']",['United States of America'],"[""Jerry O'Connell"", 'Shannon Elizabeth', 'Jake Busey', 'Horatio Sanz', 'Bernie Casey', 'Jaime Pressly', 'David Ogden Stiers', 'Bill Maher', 'Dakota Fanning']",Gregory Poirier,2.130069636363636,2001,2000,Media (1-2h),Medio
11000000.0,12149,en,16.003958,2001-11-17,13110448.0,100.0,Frailty,7.0,334,"['Drama', 'Thriller', 'Crime']","['Germany', 'Italy', 'United States of America']","['Bill Paxton', 'Matthew McConaughey', 'Powers Boothe', ""Matt O'Leary"", 'Jeremy Sumpter', 'Luke Askew', 'Levi Kreis', 'Derk Cheetwood', 'Missy Crider', 'Alan Davidson', 'Cynthia Ettinger', 'Gwen McGee', 'Rebecca Tilney']",Bill Paxton,1.191858909090909,2001,2000,Media (1-2h),Alto
11000000.0,304357,en,21.204929,2015-04-10,61619773.0,120.0,Woman in Gold,7.3,440,['Drama'],"['United Kingdom', 'United States of America']","['Helen Mirren', 'Ryan Reynolds', 'Tatiana Maslany', 'Katie Holmes', 'Max Irons', 'Charles Dance', 'Daniel Brühl', 'Tom Schilling', 'Elizabeth McGovern', 'Antje Traue', 'Jonathan Pryce', 'Frances Fisher', 'Moritz Bleibtreu', 'Allan Corduner', 'Henry Goodman', 'Olivia Silhavy', 'Ben Miles', 'Alma Hasun', 'Justus von Dohnányi', 'Ludger Pistor', 'Nina Kunzendorf', 'Crystal Clarke', 'Anthony Howell', 'Nellie Schillimg', 'Milica Bogojevic', 'Christian Dolezal', 'Rolf Saxon', 'Harry Ditson', 'Stephen Greif', 'John Moraitis', 'Doron Davidson', 'Milly Thomas', 'Cornelia Ivancan']",Simon Curtis,5.601797545454546,2015,2010,Media (1-2h),Alto
